AccountDesc,AccountID,ActionTS,ActionType,BatchID,CA_B_ID,C_ID,EffectiveDate,EndDate,SK_CustomerID,Status,TaxStatus,fakesk,isCurrent
CJlmMuFyibKOmKLHIaTeWugvCgZdmcfpDsYb,0,2007-07-07T16:07:49,NEW,1,10180,0,2007-07-07,2007-07-19,733,ACTIVE,1,1,false
goVPhIAoxWXedLPYAOKFXzREOFiLSmNpYzCppjnJG Y,0,2007-07-19T10:34:37,UPDACCT,1,6701,0,2007-07-19,2012-08-31,734,ACTIVE,1,36,false
ytOVheMuBOqsCiFvhZVRETeVIdaSrJXfgARrh,0,2012-08-31T08:43:38,UPDACCT,1,10146,0,2012-08-31,2014-03-17,3854,INACTIVE,1,7500,false
ytOVheMuBOqsCiFvhZVRETeVIdaSrJXfgARrh,0,2014-03-17T18:35:01,CLOSEACCT,1,10146,0,2014-03-17,9999-12-31,3854,INACTIVE,1,9748,true
BbxTgVGOlgyrYtVRjsXDJKmKDUp s ApIzUvH nFk,1,2007-07-07T17:12:59,NEW,1,12538,1,2007-07-07,2007-09-07,3868,ACTIVE,2,2,false
BbxTgVGOlgyrYtVRjsXDJKmKDUp s ApIzUvH nFk,1,2007-09-07T14:53:22,CLOSEACCT,1,12538,1,2007-09-07,9999-12-31,1715,INACTIVE,2,236,true
IGzIDNTTRUDKwGaoVczrTMFJYIxSzLxJVLulovjqdqH j,2,2007-07-07T22:38:23,NEW,1,12944,2,2007-07-07,2007-08-11,5369,ACTIVE,1,3,false
HSYbQCTrbBZtTOqMVMbAUuH HqbUYDKs,2,2007-08-11T07:17:24,UPDACCT,1,12944,2,2007-08-11,2008-01-03,5369,ACTIVE,1,126,false
HSYbQCTrbBZtTOqMVMbAUuH HqbUYDKs,2,2008-01-03T20:26:54,CLOSEACCT,1,12944,2,2008-01-03,9999-12-31,5370,INACTIVE,1,710,true
ZHXwHtCcLZqdWhWOPSWWSsvHxqBuIbXSTRTIIGzFENztrH,3,2007-07-08T04:38:15,NEW,1,5063,3,2007-07-08,2007-07-18,1329,ACTIVE,1,4,false
UZeOAZFkVLejBFqQrHMtfPRDLJuCVhhTzxjWYMjABLSYUMw,3,2007-07-18T16:23:57,UPDACCT,1,12449,3,2007-07-18,2007-09-13,1329,ACTIVE,1,33,false
FIwqUdLXovUGrXPfQ JCmqjhcZNlYCSzyOI,3,2007-09-13T22:39:50,UPDACCT,1,12449,3,2007-09-13,2007-12-31,1329,ACTIVE,2,263,false
FIwqUdLXovUGrXPfQ JCmqjhcZNlYCSzyOI,3,2007-12-31T07:19:49,CLOSEACCT,1,12449,3,2007-12-31,9999-12-31,1329,INACTIVE,2,691,true
mzlYZlTIDmOGuKQHOEFTaOGNiAQcjtE,4,2007-07-08T10:41:47,NEW,1,1816,4,2007-07-08,2007-08-22,5761,ACTIVE,1,5,false
mzlYZlTIDmOGuKQHOEFTaOGNiAQcjtE,4,2007-08-22T01:36:10,CLOSEACCT,1,1816,4,2007-08-22,9999-12-31,5761,INACTIVE,1,172,true
rR iCGwaSKEiTWArprcmNAqGzaMITEn nCtaCoPkZlk tcI,5,2007-07-08T17:44:19,NEW,1,5981,5,2007-07-08,2007-08-20,2444,ACTIVE,1,6,false
lDwCXMKQhCgWvoaqbLbElABFmRQtvqyLHnLS,5,2007-08-20T04:43:40,UPDACCT,1,5981,5,2007-08-20,2007-12-08,2444,ACTIVE,1,164,false
lDwCXMKQhCgWvoaqbLbElABFmRQtvqyLHnLS,5,2007-12-08T03:23:45,CLOSEACCT,1,5981,5,2007-12-08,9999-12-31,2445,INACTIVE,1,602,true
iZoVJuWQBhqnROA vdWHcIVjugulsjZDxWWStlSpPRNY,6,2007-07-09T06:01:22,NEW,1,700,6,2007-07-09,2007-07-16,6310,ACTIVE,2,7,false
iZoVJuWQBhqnROA vdWHcIVjugulsjZDxWWStlSpPRNY,6,2007-07-16T00:29:01,CLOSEACCT,1,700,6,2007-07-16,9999-12-31,6310,INACTIVE,2,23,true
bEMkkm vEtVuANcCDoJKOJYPmDaF VjfGqCTAV,7,2007-07-10T03:54:14,NEW,1,11221,7,2007-07-10,2007-08-21,3327,ACTIVE,1,8,false
bEMkkm vEtVuANcCDoJKOJYPmDaF VjfGqCTAV,7,2007-08-21T00:32:02,UPDACCT,1,8703,7,2007-08-21,9999-12-31,3327,ACTIVE,1,168,true
cEuiYDQgxRUGtGKIUHDldqVELHWGqBdtzwVWFHyTpXBrCi,8,2007-07-10T16:19:26,NEW,1,11337,8,2007-07-10,2007-07-22,3418,ACTIVE,2,9,false
EqrNAZwRAQDUbukhZKaEGSXjHHvsJSCWeWRxVfaQB,8,2007-07-22T07:28:40,UPDACCT,1,5582,8,2007-07-22,2007-07-24,3418,ACTIVE,2,48,false
EqrNAZwRAQDUbukhZKaEGSXjHHvsJSCWeWRxVfaQB,8,2007-07-24T09:26:47,CLOSEACCT,1,5582,8,2007-07-24,9999-12-31,3418,INACTIVE,2,55,true
onkJdGkjJZaqkyTHpwBiUGTqVnMH pICrPBcAGUbaPdJZU,9,2007-07-11T05:39:17,NEW,1,7895,9,2007-07-11,2007-07-24,890,ACTIVE,1,10,false
onkJdGkjJZaqkyTHpwBiUGTqVnMH pICrPBcAGUbaPdJZU,9,2007-07-24T00:50:20,CLOSEACCT,1,7895,9,2007-07-24,9999-12-31,3849,INACTIVE,1,54,true
XqXAwgQVDMSwCiOXSONPyAFlUFUujbAaB,10,2007-07-11T16:14:42,NEW,1,13353,10,2007-07-11,2008-01-13,5807,ACTIVE,1,11,false
dLGwUVGzVnTSTZhRExKAMEYNNgM EqZkFQ,10,2008-01-13T03:05:06,UPDACCT,1,9055,10,2008-01-13,9999-12-31,5807,ACTIVE,2,744,true
QfGNdiMERNAVFQPQFAKsKWelDhjLHhgQZBTssRZTss,11,2007-07-12T10:35:01,NEW,1,11879,11,2007-07-12,2007-07-21,1282,ACTIVE,1,12,false
