"SK_CompanyID","CompanyID","Status","Name","Industry","SPrating","isLowGrade","CEO","AddressLine1","AddressLine2","PostalCode","City","StateProv","Country","Description","FoundingDate","IsCurrent","BatchID","EffectiveDate","EndDate"
"1","0","Active    ","kkhSvCsfgbDUvsiZWtPQwjkYPwKrfTUFMGMCWCBXBcOcTkaLSudO        ","Biotechnology & Drugs                             ","A   ","True","Ellebracht                                                                                          ","19918 Rogers North                                                              ","                                                                                ","35233       ","Long Beach               ","NC                  ","United States of America"," CUpESkLIQ LBcTnhDEOCLVhfDjOopGKRBxRYGboIrPFcDxMSGkskSwAJdAPWSAPTf T                                                                                  ","1886-07-22T00:00:00.0000000","True","1","1967-01-01T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"2","85","Active    ","bGFUwQXggAZypFjRCphMxBp                                     ","Biotechnology & Drugs                             ","CCC+","True","Gosz                                                                                                ","11733 Electra Street                                                            ","                                                                                ","60782       ","Hilo                     ","NM                  ","United States of America","fqQhOquoBrnJUeOHuVrfusHdRGIdCJDfw zWwFPyTmyFtJEVlTxsqfqlvmMdgLlowpWIqYTQMGudobAE OWVQCPWIsFAHQr  brNqIYNVUrRpSpmwvLuyZIUKyBDJIXWWmuhZnBUFgOnJaD       ","1964-01-25T00:00:00.0000000","True","1","1968-09-18T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"3","114","Active    ","HlQpDmkZOggAglCWGRqFOTNSSGgWMLcHRffCrHPSwEYItP              ","Motion Pictures                                   ","HsT ","True","Oballe                                                                                              ","16276 Coit Avenue                                                               ","                                                                                ","T6C 1J8     ","Mesquite                 ","UT                  ","Canada                  ","AhYmuMQHLZzFgiNKBTORFIMgqbuJbCxoEsQa                                                                                                                  ","1956-07-07T00:00:00.0000000","True","1","1968-09-19T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"4","112","Active    ","PqHHQPtFmLMYtaQZeCPyWOpeDGcHWjGJJWGnpUVWYUbRjsNExvioDRDUsgU ","Airline                                           ","P   ","True","Yantis                                                                                              ","24958 Tangle Brush Upper                                                        ","                                                                                ","85060       ","Lubbock                  ","MT                  ","Canada                  ","FNqHJUouFNbiOjYLbQLhIAocDeVQhpXMOeCdJcXcK HCaTeZGWHPyrtjMNhkknDzyFQTmEYGALNMOILAIHJtLiLckJEWytEewOHFOFnlLrqEUZFDWKFuMKwQQiRIhfcAEuHDux                ","1931-10-22T00:00:00.0000000","True","1","1968-09-21T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"5","98","Inactive  ","OKehKyGaHgbEeBcBDAnFaXwXmCfzDCIig                           ","Recreational Products                             ","b   ","True","Husman                                                                                              ","10513 Barberry North                                                            ","                                                                                ","85261       ","Columbia                 ","KY                  ","United States of America","BFbtSAhumJREbHHDkqbvPazYkVyMPoqTfvYNDBxrBzB                                                                                                           ","1936-10-11T00:00:00.0000000","True","1","1968-09-23T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"6","115","Active    ","JGWTufGSpPEdVbXtBdURoSBdVLsGNGsGOIm                         ","Tobacco                                           ","AA  ","True","Pasqualetti                                                                                         ","2446 Forest Lane                                                                ","                                                                                ","19091       ","Memphis                  ","Ontario             ","United States of America","rxQSJxpxlEYHITxWIEEmYQsLHoMtGcdzCRPwgHQULWLVBIqlUNJkaoPFnMcjdLLOguECKCpDS                                                                             ","1873-09-05T00:00:00.0000000","True","1","1968-09-27T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"7","113","Active    ","WQvGWPoKbkVjgnaQgARkjKXk                                    ","Insurance (Life)                                  ","A   ","True","Jackson                                                                                             ","14785 Brielle Upper                                                             ","                                                                                ","92607       ","Tulsa                    ","GA                  ","United States of America","waXeZLDIaQLXnSGJonZjLPPInIUGJWrZvQQTPDbVlAUjSqMEqVJOnMwQbtNF dSvjdLiZPLzRIuZCBCP XaQyaSGCNXQMMVCtVAgRwNUkfGB IVcjRDaEvP                               ","1940-05-06T00:00:00.0000000","True","1","1968-09-29T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"8","111","Active    ","PJMdSzrJLCQOEjBzsCfSLWNE                                    ","Retail (Apparel)                                  ","CCC ","True","Macmahon                                                                                            ","20623 Hickory Street                                                            ","                                                                                ","76127       ","Concord                  ","IL                  ","United States of America","EBNlXInVkwCHobwEOADyOMJSjZyMhYDLcYTlykyylECZmISdMkNLEuLQoXgcTLGdKCC ORBPkJmDhSQqKFGLidvkbBAvMtuhQwZarLNUmdKCOALKrzDiHdxrvb                            ","1863-03-31T00:00:00.0000000","True","1","1968-09-30T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"9","128","Active    ","YCmHMrlCgmfVKmzzPrAlepDA                                    ","Constr. - Supplies & Fixtures                     ","CC  ","True","Ramser                                                                                              ","14754 Woodview East                                                             ","                                                                                ","H6A 1Z6     ","Coral Springs            ","WA                  ","United States of America","BIy daBqmVEGxBgCnMPRcGFXAlDYkAedVaLjsKVM                                                                                                              ","1866-09-11T00:00:00.0000000","True","1","1969-06-23T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"10","75","Inactive  ","UfSHWSCITBCAOZQunWBPoRwGIRuCUoPSdEQARTADOJmAyACdfM          ","Water Transportation                              ","B-  ","True","Lekas                                                                                               ","23890 Bay Street                                                                ","                                                                                ","99611       ","Miami                    ","UT                  ","Canada                  ","TEUEZXJoHNH                                                                                                                                           ","1851-04-15T00:00:00.0000000","True","1","1969-06-24T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"11","129","Active    ","HMrTXQhEEVrLHrNKPYWiOMAJojqEqwZLugVKrXsyh                   ","Construction Services                             ","d   ","True","Foret                                                                                               ","22386 Spanish River Lane                                                        ","                                                                                ","H2A 1Y7     ","Pomona                   ","WA                  ","United States of America","ARShYEbhxLshNWXLCsDjzSnSXnvVzLnViWDhdwSEANVu YlOerFDyfUUgLIacATxhxwicxZKqtmHGAmRLfFFuNWtkGZXCGHkQqGAOvQHMnUxNz GzxyhuNmpYIBhxtHitWxJYofhrNOODiOi      ","1913-08-14T00:00:00.0000000","True","1","1969-06-27T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"12","126","Active    ","dIUROFpdEPKnAvxuStaoNvigKwOuJxWBRxARLVKLRWwVcvaoYJo         ","Software & Programming                            ","AAA ","True","Gerrero                                                                                             ","1253 Kingsbridge Upper                                                          ","                                                                                ","48107       ","Savannah                 ","WV                  ","United States of America","cQqLOF DJZLNXDHJMoQRTWcKmEoJKZHINiBbrGdPaLNEVPAPeBVsbcRxRgNKshYWLhrgha tDUXGynwTw                                                                     ","1902-01-16T00:00:00.0000000","True","1","1969-06-27T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"13","130","Active    ","DvbOuQtQhhIpCgicNoNmJJmIISOzXrHUBciK                        ","Motion Pictures                                   ","B+  ","True","Lehman                                                                                              ","21072 Winsome Avenue                                                            ","                                                                                ","T5D 1T7     ","Abilene                  ","NJ                  ","United States of America","UPKnEqIITJDGbTEbAQfCDRmY TLGBYRUGImpwELSSWEHJRSXBUKfAGBCafOv                                                                                          ","1851-09-30T00:00:00.0000000","True","1","1969-06-29T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"14","127","Active    ","dTpthWoaQBLMBRCRNonpuyzduOcCjNK                             ","Healthcare Facilities                             ","BB- ","True","Dreyfus                                                                                             ","6990 Glades Lower                                                               ","                                                                                ","M3W 1J4     ","Shreveport               ","PA                  ","United States of America","PekltQtTVhKKlXDnwziCThTIZmpapNwQxFMZwQQhPjEsfvQTyEOJ                                                                                                  ","1925-05-05T00:00:00.0000000","True","1","1969-06-29T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"15","20","Active    ","XdCwDlGsXFstGqdCIcNOKJfTOQPnoEeELXbNmwOl                    ","Photography                                       ","AA- ","True","Dengel                                                                                              ","2579 Creekbend Way                                                              ","Apt. 177                                                                        ","90053       ","Topeka                   ","DE                  ","United States of America","PbEXTLxQMjUFVigzlINmXkOMkKRDqdQLlcGKPE                                                                                                                ","1919-04-05T00:00:00.0000000","True","1","1969-06-30T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"16","123","Active    ","WwXQNkQAqANEBHnihrVhCfRtBAoaKSMATszCV                       ","Retail (Apparel)                                  ","A+  ","True","Vanderlinden                                                                                        ","14743 Furth Park                                                                ","                                                                                ","99513       ","Fayetteville             ","CO                  ","United States of America","gjAJQRLAQakzUdajFliLJBXAJEXbTlkCkxdJebFiEVvYeMaWYQXPwHUeiJiLWIaLQQeRriYfGAsGCFlbxchNoFvKutQxhzyDCQARHiAZGQQsMLknROhQbLvlXbvfaTP RsQRdlTdEMSAUnnVSNGr  ","1962-02-16T00:00:00.0000000","True","1","1969-03-22T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"17","109","Active    ","oVQZHHoeJFAibcCaYAEJISAPBzZqljSYmfyIwwdpzDs                 ","Software & Programming                            ","CCC+","True","Thomas                                                                                              ","21818 Palm West                                                                 ","                                                                                ","V6Y 1S6     ","Little Rock              ","HI                  ","United States of America","DQQBtWegFSxXCwljhoyJoc cuKwGlwdSmlHQKVodwCblXDWOXbGufKZJNqGXuLa XpxqgkJBTSueVEFwAJBWnR RRy mKdHjGGJWBTdBEGMt QBdcoZY                                  ","null","True","1","1969-03-22T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"18","122","Active    ","LfVjSbTbrJNKISiNWoWHWpjzkqpJJNDyTwMZLmCuRedPcuPMRxdNfODXW   ","Misc. Transportation                              ","A+  ","True","Wyse                                                                                                ","10309 Kelvin Crescent                                                           ","                                                                                ","H2F 1W4     ","Philadelphia             ","WI                  ","United States of America","kLgIMJnnFimrXBKJDSyPlAbRFrgpQODGILsnXGRwNPXcQFQhh RKqSqDzAazJWAAbN UVdYhgUlv HSAlKgXNcsCuKoSVuSpAAGtxJGZPOUBy                                         ","1909-04-11T00:00:00.0000000","True","1","1969-03-25T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"19","125","Active    ","zZAWmtHawKkiPBthJyfhtTFUysoSyjiuZiCG                        ","Audio & Video Equipment                           ","BB  ","True","Colbert                                                                                             ","14791 Bluff East                                                                ","                                                                                ","70810       ","Birmingham               ","MN                  ","United States of America","hCIOgFYKgIGPdLDKncQnzJMJLumTxAIoqnnXgQMLVnKlpqGKPTTcLgLHAbOFvEXyVOIzzHMtzVxBJQbqbkfQPCIHpVP IiCff                                                     ","1856-06-18T00:00:00.0000000","True","1","1969-03-26T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"20","121","Active    ","CfpSJqNzKQKIOUAIXOeRB                                       ","Construction Services                             ","AA- ","True","Pullom                                                                                              ","9552 Roosevelt Court                                                            ","                                                                                ","M5A 1X9     ","Hay River                ","AK                  ","Canada                  ","OdkVqKYNBvGkHHERVPaKqkKxXG vNgKwLAEtVRLRVc                                                                                                            ","1911-04-12T00:00:00.0000000","True","1","1969-03-29T00:00:00.0000000","9999-12-31T00:00:00.0000000"
