SK_CompanyID,SPRating,addressLine1,addressLine2,batchID,ceo,city,companyID,country,description,effectiveDate,endDate,foundingDate,industry,isCurrent,isLowGrade,name,postalCode,stateProv,status
1,"A   ","19918 Rogers North                                                              ","                                                                                ",1,"Ellebracht                                                                                          ","Long Beach               ",0,United States of America," CUpESkLIQ LBcTnhDEOCLVhfDjOopGKRBxRYGboIrPFcDxMSGkskSwAJdAPWSAPTf T                                                                                  ",1967-01-01T00:00:00.0000000,9999-12-31T00:00:00.0000000,1886-07-22T00:00:00.0000000,"Biotechnology & Drugs                             ",true,true,"kkhSvCsfgbDUvsiZWtPQwjkYPwKrfTUFMGMCWCBXBcOcTkaLSudO        ","35233       ","NC                  ","Active    "
2,CCC+,"11733 Electra Street                                                            ","                                                                                ",1,"Gosz                                                                                                ","Hilo                     ",85,United States of America,"fqQhOquoBrnJUeOHuVrfusHdRGIdCJDfw zWwFPyTmyFtJEVlTxsqfqlvmMdgLlowpWIqYTQMGudobAE OWVQCPWIsFAHQr  brNqIYNVUrRpSpmwvLuyZIUKyBDJIXWWmuhZnBUFgOnJaD       ",1968-09-18T00:00:00.0000000,1977-03-28T00:00:00.0000000,1964-01-25T00:00:00.0000000,"Biotechnology & Drugs                             ",false,true,"bGFUwQXggAZypFjRCphMxBp                                     ","60782       ","NM                  ","Active    "
114,CCC+,"11733 Electra Street                                                            ","                                                                                ",1,"Gosz                                                                                                ","Hilo                     ",85,United States of America,"fqQhOquoBrnJUeOHuVrfusHdRGIdCJDfw zWwFPyTmyFtJEVlTxsqfqlvmMdgLlowpWIqYTQMGudobAE OWVQCPWIsFAHQr  brNqIYNVUrRpSpmwvLuyZIUKyBDJIXWWmuhZnBUFgOnJaD       ",1967-03-31T00:00:00.0000000,1968-09-18T00:00:00.0000000,1962-08-22T00:00:00.0000000,"Tires                                             ",false,true,"bGFUwQXggAZypFjRCphMxBp                                     ","60782       ","NM                  ","Active    "
369,CCC+,"11733 Electra Street                                                            ","                                                                                ",1,"Gosz                                                                                                ","Hilo                     ",85,United States of America,"fqQhOquoBrnJUeOHuVrfusHdRGIdCJDfw zWwFPyTmyFtJEVlTxsqfqlvmMdgLlowpWIqYTQMGudobAE OWVQCPWIsFAHQr  brNqIYNVUrRpSpmwvLuyZIUKyBDJIXWWmuhZnBUFgOnJaD       ",1977-03-28T00:00:00.0000000,9999-12-31T00:00:00.0000000,1972-04-28T00:00:00.0000000,"Personal & Household Products                     ",true,true,"bGFUwQXggAZypFjRCphMxBp                                     ","60782       ","NM                  ","Active    "
3,"HsT ","16276 Coit Avenue                                                               ","                                                                                ",1,"Oballe                                                                                              ","Mesquite                 ",114,"Canada                  ","AhYmuMQHLZzFgiNKBTORFIMgqbuJbCxoEsQa                                                                                                                  ",1968-09-19T00:00:00.0000000,9999-12-31T00:00:00.0000000,1956-07-07T00:00:00.0000000,"Motion Pictures                                   ",true,true,"HlQpDmkZOggAglCWGRqFOTNSSGgWMLcHRffCrHPSwEYItP              ","T6C 1J8     ","UT                  ","Active    "
4,"P   ","24958 Tangle Brush Upper                                                        ","                                                                                ",1,"Yantis                                                                                              ","Lubbock                  ",112,"Canada                  ","FNqHJUouFNbiOjYLbQLhIAocDeVQhpXMOeCdJcXcK HCaTeZGWHPyrtjMNhkknDzyFQTmEYGALNMOILAIHJtLiLckJEWytEewOHFOFnlLrqEUZFDWKFuMKwQQiRIhfcAEuHDux                ",1968-09-21T00:00:00.0000000,9999-12-31T00:00:00.0000000,1931-10-22T00:00:00.0000000,"Airline                                           ",true,true,"PqHHQPtFmLMYtaQZeCPyWOpeDGcHWjGJJWGnpUVWYUbRjsNExvioDRDUsgU ","85060       ","MT                  ","Active    "
5,"b   ","10513 Barberry North                                                            ","                                                                                ",1,"Husman                                                                                              ","Columbia                 ",98,United States of America,"BFbtSAhumJREbHHDkqbvPazYkVyMPoqTfvYNDBxrBzB                                                                                                           ",1968-09-23T00:00:00.0000000,9999-12-31T00:00:00.0000000,1936-10-11T00:00:00.0000000,"Recreational Products                             ",true,true,"OKehKyGaHgbEeBcBDAnFaXwXmCfzDCIig                           ","85261       ","KY                  ","Inactive  "
145,"b   ","10513 Barberry North                                                            ","                                                                                ",1,"Husman                                                                                              ","Columbia                 ",98,United States of America,"BFbtSAhumJREbHHDkqbvPazYkVyMPoqTfvYNDBxrBzB                                                                                                           ",1967-12-21T00:00:00.0000000,1968-09-23T00:00:00.0000000,1936-03-21T00:00:00.0000000,"Recreational Products                             ",false,true,"OKehKyGaHgbEeBcBDAnFaXwXmCfzDCIig                           ","85261       ","KY                  ","Active    "
6,"AA  ","2446 Forest Lane                                                                ","                                                                                ",1,"Pasqualetti                                                                                         ","Memphis                  ",115,United States of America,"rxQSJxpxlEYHITxWIEEmYQsLHoMtGcdzCRPwgHQULWLVBIqlUNJkaoPFnMcjdLLOguECKCpDS                                                                             ",1968-09-27T00:00:00.0000000,1989-03-29T00:00:00.0000000,1873-09-05T00:00:00.0000000,"Tobacco                                           ",false,true,"JGWTufGSpPEdVbXtBdURoSBdVLsGNGsGOIm                         ","19091       ","Ontario             ","Active    "
683,"AA  ","2446 Forest Lane                                                                ","                                                                                ",1,"Pasqualetti                                                                                         ","Memphis                  ",115,United States of America,"rxQSJxpxlEYHITxWIEEmYQsLHoMtGcdzCRPwgHQULWLVBIqlUNJkaoPFnMcjdLLOguECKCpDS                                                                             ",1989-03-29T00:00:00.0000000,9999-12-31T00:00:00.0000000,1877-10-20T00:00:00.0000000,"Tobacco                                           ",true,true,"JGWTufGSpPEdVbXtBdURoSBdVLsGNGsGOIm                         ","19091       ","Ontario             ","Inactive  "
7,"A   ","14785 Brielle Upper                                                             ","                                                                                ",1,"Jackson                                                                                             ","Tulsa                    ",113,United States of America,"waXeZLDIaQLXnSGJonZjLPPInIUGJWrZvQQTPDbVlAUjSqMEqVJOnMwQbtNF dSvjdLiZPLzRIuZCBCP XaQyaSGCNXQMMVCtVAgRwNUkfGB IVcjRDaEvP                               ",1968-09-29T00:00:00.0000000,9999-12-31T00:00:00.0000000,1940-05-06T00:00:00.0000000,"Insurance (Life)                                  ",true,true,"WQvGWPoKbkVjgnaQgARkjKXk                                    ","92607       ","GA                  ","Active    "
8,"CCC ","20623 Hickory Street                                                            ","                                                                                ",1,"Macmahon                                                                                            ","Concord                  ",111,United States of America,"EBNlXInVkwCHobwEOADyOMJSjZyMhYDLcYTlykyylECZmISdMkNLEuLQoXgcTLGdKCC ORBPkJmDhSQqKFGLidvkbBAvMtuhQwZarLNUmdKCOALKrzDiHdxrvb                            ",1968-09-30T00:00:00.0000000,1973-12-25T00:00:00.0000000,1863-03-31T00:00:00.0000000,"Retail (Apparel)                                  ",false,true,"PJMdSzrJLCQOEjBzsCfSLWNE                                    ","76127       ","IL                  ","Active    "
283,"CCC ","20623 Hickory Street                                                            ","                                                                                ",1,"Macmahon                                                                                            ","Concord                  ",111,United States of America,"EBNlXInVkwCHobwEOADyOMJSjZyMhYDLcYTlykyylECZmISdMkNLEuLQoXgcTLGdKCC ORBPkJmDhSQqKFGLidvkbBAvMtuhQwZarLNUmdKCOALKrzDiHdxrvb                            ",1973-12-25T00:00:00.0000000,1975-06-27T00:00:00.0000000,1863-11-01T00:00:00.0000000,"Retail (Apparel)                                  ",false,true,"PJMdSzrJLCQOEjBzsCfSLWNE                                    ","76127       ","IL                  ","Active    "
