BatchID,Dividend,EffectiveDate,EndDate,ExchangeID,FirstTrade,FirstTradeOnExchange,IsCurrent,Issue,Name,SK_CompanyID,SK_SecurityID,SharesOutstanding,Status,symbol
1,2.43,1996-06-30,9999-12-31,"PCX   ",1964-04-14,1956-08-07,true,COMMON,"vCiGJKKAhPrECwBKTDNzNDGfX qmoHvFtZkXGheVkhSdRceQSfKQfGWOjN            ",11,117,953232845,"Inactive  ",AAAAAAAAAAAAASV
1,2.43,1975-12-28,1996-06-30,"PCX   ",1948-03-06,1941-07-29,false,COMMON,"vCiGJKKAhPrECwBKTDNzNDGfX qmoHvFtZkXGheVkhSdRceQSfKQfGWOjN            ",11,810,953232845,"Active    ",AAAAAAAAAAAAASV
1,0.13,1997-09-29,9999-12-31,NASDAQ,1931-07-23,1961-11-11,true,PREF_A,"FAwcaOLkzIjMXIBDvafVzVjG                                              ",11,1426,272885791,"Active    ",AAAAAAAAAAAABWL
1,2.74,1997-03-29,1997-09-29,NASDAQ,1891-07-20,1850-11-09,false,PREF_B,"egjzpjbgaG l                                                          ",499,1607,326352966,"Active    ",AAAAAAAAAAAABWL
1,1.85,1970-06-21,1971-03-29,"PCX   ",1959-02-21,1905-10-01,false,COMMON,"YMxBKFJVFXGjHaOybeBZhxHsrawQtJduyXFWsCjJxvBOmvzIYJVQffFSSHUFKhvGaa    ",12,802,609542649,"Active    ",AAAAAAAAAAAAALF
1,1.92,1971-03-29,9999-12-31,"NYSE  ",1866-04-25,1881-05-02,true,COMMON,"CpdoZMNPIlisfuBlkKEhPGOogdJaXSPaSBdU                                  ",81,485,163404367,"Active    ",AAAAAAAAAAAAALF
1,2.41,1972-12-26,1977-09-26,"NYSE  ",1872-08-12,1935-08-09,false,COMMON,"dMqEFcDcQIE DEa                                                       ",12,806,753824943,"Active    ",AAAAAAAAAAAAAOR
1,2.12,1977-09-26,9999-12-31,NASDAQ,1909-01-23,1903-06-02,true,COMMON,"OTuZbmsKIzjOG                                                         ",139,768,244059531,"Active    ",AAAAAAAAAAAAAOR
1,0.3,2010-09-30,9999-12-31,"NYSE  ",1987-01-28,1997-04-03,true,COMMON,"cNyKaRNLHpWRQGmQyJYkaTz                                               ",12,1909,11158480,"Active    ",AAAAAAAAAAAACPD
1,0.56,1969-09-23,9999-12-31,"PCX   ",1898-05-03,1965-08-21,true,COMMON,"nMLzQnDulpSiIMJurwytHoeDYNzBPSDlOGKuVoraCFJcTopclebUMSyAnsM CgxsIV    ",13,818,165461541,"Active    ",AAAAAAAAAAAAAKJ
1,0.28,1984-12-31,9999-12-31,"NYSE  ",1960-03-14,1876-11-01,true,COMMON,"lLBnJAGBMHXOZoQAjVGMDan                                               ",13,831,795978830,"Active    ",AAAAAAAAAAAABFI
1,2.52,1986-03-27,9999-12-31,"PCX   ",1905-09-18,1984-06-11,true,PREF_A,"uBYDJYTDBATBpOlBKcy                                                   ",13,833,798466439,"Active    ",AAAAAAAAAAAABHD
1,0.31,1990-03-30,9999-12-31,"PCX   ",1882-05-28,1904-07-01,true,COMMON,"rtRejKUzciUVUrJIQEZSVorRCJKjgMsRhKRXFy                                ",13,838,716139450,"Active    ",AAAAAAAAAAAABMN
1,1.94,1971-09-26,9999-12-31,NASDAQ,1899-12-09,1895-12-14,true,PREF_A,"AtLSlfYNZFeTZBmHSkHc OQRPJoPk                                         ",14,804,193928503,"Active    ",AAAAAAAAAAAAAAB
1,0.51,1967-04-28,1971-09-26,"NYSE  ",1871-10-29,1949-06-12,false,COMMON,"hLGaxijgkBZAvvYVHVMmOFN fMsFAbbAYlYRHEeYVAkDrIhJMkgIDB                ",87,517,720090211,"Active    ",AAAAAAAAAAAAAAB
1,2.83,1972-06-27,1982-06-29,NASDAQ,1927-02-12,1939-03-08,false,PREF_A,"GIQEVDbIcLMohHrEGMtlVSlKdWTzNAAXYMdsGRqyuKO TFEFQNSH                  ",14,805,11332363,"Active    ",AAAAAAAAAAAAANZ
1,1.0,1982-06-29,9999-12-31,NASDAQ,1974-03-07,1919-04-08,true,PREF_A,"nOWRflSCRGheQZGKzgsdUkvNFMGSzHyhvSYMIDvKMhnxmEyuJJEfXvLfDjF           ",255,454,216069267,"Active    ",AAAAAAAAAAAAANZ
1,0.14,1976-12-27,9999-12-31,NASDAQ,1861-01-23,1929-09-21,true,COMMON,"VGlFScTA TOyVhCMKqRmLCPNQnOnKVHGTGLSFUKCLxOKXqCJuImJ                  ",14,811,762380268,"Active    ",AAAAAAAAAAAAAUK
1,1.69,1967-05-22,9999-12-31,"NYSE  ",1936-08-25,1919-08-11,true,PREF_B,"aPKdlEKzyRMYUqNqBdunRiPOAFVABrXvyEQPKuOJeSaXlGOAZbEgny                ",40,261,799841233,"Active    ",AAAAAAAAAAAAACP
1,1.48,1967-06-15,1970-03-23,"NYSE  ",1919-08-13,1922-09-12,false,PREF_A,"DPmQVxXoNFWxvsQzoLIENSLDfCMpLSyDkopPAefBmHxqd                         ",40,269,272767849,"Active    ",AAAAAAAAAAAAAFI
1,0.48,1972-12-31,9999-12-31,"NYSE  ",1926-10-14,1897-11-30,true,COMMON," OkSmAwFP xhKwAuzUzegwPTVHrgPMAeImybUxgrVvRHcYAS                      ",78,469,90435831,"Active    ",AAAAAAAAAAAAAFI
1,1.11,1970-03-23,1972-12-31,"PCX   ",1864-01-02,1947-03-28,false,COMMON,LKGNGGPIOAPHiWfPONcJWVUHFrLTJrhTcfqpMdBHEafMzZxYurgiDpOSacSOGMRGrt gAD,42,280,440178548,"Active    ",AAAAAAAAAAAAAFI
